"objid","baumnummer","geometry"
"236807","SE-4691","POINT (2683355 1252240.9)"
"236804","SE-4689","POINT (2683344.8 1252237.9)"
"170423","SE-2118","POINT (2683519.5 1252423.2)"
"17420","SE-2138","POINT (2683274.5 1252389.1)"
"237374","SE-5213","POINT (2683285.8 1252248.9)"
"203846","OE-5640","POINT (2683577.5 1251980)"
"141311","SE-3744","POINT (2683512 1252451.9)"
"54452","SE-5420","POINT (2683585.8 1252290.1)"
"96431","OE-1432","POINT (2683276.5 1251842.1)"
"8150","SE-2173","POINT (2683417 1252329.9)"
"46148","SE-2314","POINT (2683493.2 1252260.2)"
"112040","OE-4708","POINT (2683410.8 1251880.2)"
"236231","SE-5223","POINT (2683286 1252234.5)"
"54461","SE-5424","POINT (2683612 1252208)"
"96416","OE-1427","POINT (2683268 1251893.4)"
"141584","SE-3907","POINT (2683488.2 1252482.9)"
"151751","OE-5662","POINT (2683571 1252018.8)"
"96422","OE-1429","POINT (2683279 1251874.5)"
"237362","SE-5206","POINT (2683291.8 1252252.9)"
"218342","OE-5664","POINT (2683574 1252014.2)"
"204329","OE-5666","POINT (2683579.8 1252017.9)"
"236816","SE-5203","POINT (2683290.8 1252264.5)"
"16832","SE-2172","POINT (2683409.8 1252313.2)"
"55835","SE-5324","POINT (2683345.8 1252385.8)"
"136409","SE-2175","POINT (2683421.5 1252273.4)"
"23777","OE-4556","POINT (2683539 1251938.1)"
"105047","SE-5334","POINT (2683409 1252358.1)"
"55715","OE-5658","POINT (2683556.2 1252016.9)"
"17822","SE-2321","POINT (2683541.5 1252145.9)"
"23774","OE-4554","POINT (2683540 1251940.1)"
"89669","OE-4719","POINT (2683401.8 1251846)"
"143012","SE-2126","POINT (2683482 1252438.6)"
"236813","SE-5215","POINT (2683325.5 1252258.2)"
"17825","SE-2324","POINT (2683520.5 1252061.9)"
"55832","OE-5672","POINT (2683587.5 1252006.5)"
"141575","SE-2122","POINT (2683481.5 1252423.1)"
"104933","SE-5326","POINT (2683407 1252378.8)"
"236237","SE-5222","POINT (2683293.5 1252234.5)"
"73586","OE-815","POINT (2683632.5 1251801.4)"
"112541","OE-4714","POINT (2683434.5 1251900.4)"
"236810","SE-5216","POINT (2683358 1252245.2)"
"194543","OE-5648","POINT (2683579 1251996.1)"
"29363","SE-4432","POINT (2683363.5 1252157.9)"
"189578","OE-4681","POINT (2683533.2 1251797.6)"
"104936","SE-5328","POINT (2683407 1252372.6)"
"236240","SE-4671","POINT (2683296.8 1252235.1)"
"136400","SE-2162","POINT (2683333.8 1252384.4)"
"112022","OE-4700","POINT (2683381 1251859.4)"
"96428","OE-1431","POINT (2683283 1251845.9)"
"25298","OE-4457","POINT (2683468.8 1251881.2)"
"55712","OE-5650","POINT (2683569.5 1251994.9)"
"236825","SE-5204","POINT (2683291.2 1252260.8)"
"236801","SE-5217","POINT (2683339 1252236.9)"
"99536","SE-270","POINT (2683507.2 1252374.8)"
"25406","OE-4456","POINT (2683482 1251888.4)"
"236822","SE-5210","POINT (2683285 1252260.4)"
"46139","SE-2311","POINT (2683489.5 1252298.2)"
"143006","SE-72","POINT (2683519.2 1252478.9)"
"141203","SE-2307","POINT (2683542.8 1252454.2)"
"89672","OE-4720","POINT (2683393.8 1251840.2)"
"99533","SE-271","POINT (2683510.8 1252386.8)"
"151640","OE-5659","POINT (2683555.2 1252020.8)"
"17351","SE-2139","POINT (2683271.5 1252383.9)"
"15629","SE-2137","POINT (2683269.8 1252388.2)"
"85778","SE-3817","POINT (2683414.5 1252294)"
"17819","SE-2320","POINT (2683540.8 1252154.1)"
"203840","OE-5645","POINT (2683577.2 1251984.6)"
"85781","SE-3820","POINT (2683418 1252245.8)"
"89660","OE-4716","POINT (2683429.8 1251862.1)"
"149759","SE-2117","POINT (2683523.5 1252433.4)"
"88820","SE-291","POINT (2683514.8 1252398.5)"
"114386","OE-4692","POINT (2683329.8 1251832.9)"
"3632","WP-1414","POINT (2682030.5 1251194.1)"
"6116","WP-1519","POINT (2682093 1251048.1)"
"93023","WP-1405","POINT (2682109.8 1251235.8)"
"111866","UN-7135","POINT (2682156.8 1251303.9)"
"92825","UN-2481","POINT (2682161.8 1251299.4)"
"93140","WP-1473","POINT (2682129.5 1251244.8)"
"93296","WP-1437","POINT (2682169.2 1251086.8)"
"134702","AF-6217","POINT (2682015.2 1251257.9)"
"93551","WP-1338","POINT (2682089 1251086.2)"
"3500","WP-1358","POINT (2682162.8 1251107.6)"
"3494","WP-1433","POINT (2682167.2 1251093.5)"
"92885","WP-1632","POINT (2682082 1251206.6)"
"98777","WP-2969","POINT (2682153.5 1250971.9)"
"105554","WP-1296","POINT (2682089.5 1251148.5)"
"123023","AF-6219","POINT (2682007 1251284.1)"
"3515","WP-1318","POINT (2682130 1251154.6)"
"84569","HG-907","POINT (2682030 1251154.1)"
"93542","WP-1346","POINT (2682110.2 1251084.8)"
"110231","WP-3559","POINT (2682156 1250995.5)"
"134546","WP-1485","POINT (2682064.5 1251207.6)"
"92690","UN-2358","POINT (2682161 1251262.2)"
"93674","WP-1321","POINT (2682115.5 1251063.1)"
"123017","AF-6213","POINT (2682027.8 1251230.1)"
"93020","WP-1406","POINT (2682108 1251237.4)"
"92993","WP-1302","POINT (2682116.8 1251202)"
"124760","WP-1323","POINT (2682120.5 1251051.1)"
"92702","UN-2371","POINT (2682130 1251292)"
"92711","UN-2390","POINT (2682121.2 1251322.1)"
"92699","UN-2368","POINT (2682131.5 1251288)"
"110234","WP-3558","POINT (2682146.5 1251002.2)"
"123032","AF-6222","POINT (2682035.2 1251225.5)"
"93554","WP-1340","POINT (2682068.5 1251085)"
"134555","UN-2349","POINT (2682162.5 1251232.9)"
"93671","WP-1322","POINT (2682117.2 1251050.6)"
"17507","AF-2751","POINT (2681989 1251343.1)"
"110375","UN-2479","POINT (2682166.8 1251329.5)"
"92882","WP-1367","POINT (2682082.8 1251181.6)"
"93398","WP-1438","POINT (2682168 1251087.8)"
"116609","UN-7502","POINT (2682137.5 1251328.2)"
"92858","HG-906","POINT (2682021.5 1251158.6)"
"93146","WP-1472","POINT (2682138.8 1251226)"
"93647","UN-2421","POINT (2682128.5 1251336.1)"
"134543","WP-1486","POINT (2682069.5 1251206.8)"
"92717","UN-2387","POINT (2682134.8 1251318.9)"
"98774","WP-1344","POINT (2682087.2 1251045.8)"
"92879","WP-1316","POINT (2682072 1251195.1)"
"92741","WP-1420","POINT (2682055 1251148.5)"
"92564","UN-2354","POINT (2682151.5 1251245.5)"
"93131","WP-1403","POINT (2682114.2 1251241)"
"93419","WP-1527","POINT (2682135.8 1251089.8)"
"6125","WP-1529","POINT (2682132 1251085.5)"
"6110","WP-1336","POINT (2682082.2 1251090.5)"
"134537","WP-2963","POINT (2682073.8 1251053.8)"
"93422","WP-1526","POINT (2682135.2 1251087.5)"
"10676","AF-2752","POINT (2682003.8 1251319.1)"
"3497","WP-1359","POINT (2682163.5 1251105.6)"
"92828","UN-2384","POINT (2682161.5 1251296.6)"
"17504","AF-2755","POINT (2682003.5 1251335.4)"
"193736","AF-5200","POINT (2682040.2 1251236.1)"
"92744","WP-1492","POINT (2682056 1251151.4)"
"92867","WP-1487","POINT (2682035.8 1251209.8)"
"92864","WP-1418","POINT (2682029 1251169.6)"
"134429","WP-2967","POINT (2682112.2 1251009.4)"
"93548","WP-1339","POINT (2682090.5 1251093.2)"
"93134","WP-1299","POINT (2682122.8 1251242.4)"
"93002","WP-1425","POINT (2682081.5 1251229.6)"
"123026","AF-6220","POINT (2682040.5 1251230.2)"
"3629","WP-1400","POINT (2682102.2 1251225.8)"
"3518","WP-1428","POINT (2682106.8 1251156.4)"
"3641","WP-1415","POINT (2682031.5 1251199.1)"
"92561","UN-2351","POINT (2682156.2 1251241.5)"
"6107","WP-1328","POINT (2682134.5 1251018.6)"
"92576","UN-2357","POINT (2682157 1251261.1)"
"150296","WP-2961","POINT (2682022.2 1251098.9)"
"17513","AF-2750","POINT (2681980.2 1251368.4)"
"93557","WP-1334","POINT (2682089.5 1251071)"
"235496","UN-2365","POINT (2682160.2 1251286.1)"
"93143","WP-1474","POINT (2682128 1251240.9)"
"92873","WP-1411","POINT (2682055.5 1251217.5)"
"93401","WP-1431","POINT (2682167.8 1251090.1)"
"17510","AF-2754","POINT (2681997 1251359)"
"3524","WP-1368","POINT (2682091.5 1251185)"
"93128","WP-1404","POINT (2682112.8 1251235.8)"
"93407","WP-1606","POINT (2682166 1251100.1)"
"92996","WP-1303","POINT (2682114.5 1251198)"
"131993","UN-7681","POINT (2682171.2 1251207.8)"
"101399","WP-1301","POINT (2682131.2 1251202.8)"
"92567","UN-2353","POINT (2682151 1251252)"
"17516","AF-2756","POINT (2681970.5 1251391)"
"116918","UN-7550","POINT (2682138.2 1251364.2)"
"93011","WP-1484","POINT (2682100.2 1251233.5)"
"126311","UN-2347","POINT (2682169.2 1251222.5)"
"93560","WP-1335","POINT (2682093 1251069.6)"
"130649","WP-1479","POINT (2682081.2 1251135.4)"
"93665","UN-2407","POINT (2682151.2 1251383.9)"
"93413","WP-1317","POINT (2682127 1251154.2)"
"17597","AF-2753","POINT (2681963.8 1251412.6)"
"92888","WP-1477","POINT (2682134.5 1251207.1)"
"134552","UN-2350","POINT (2682158 1251233.6)"
"3626","WP-1369","POINT (2682093.8 1251187.8)"
"92570","UN-2355","POINT (2682146 1251257.6)"
"92693","UN-2373","POINT (2682137.2 1251276.6)"
"150284","WP-2960","POINT (2682026 1251112.1)"
"6104","WP-1327","POINT (2682134.2 1251020.6)"
"110366","UN-2367","POINT (2682136.8 1251290.1)"
"116612","UN-7503","POINT (2682141.5 1251322.8)"
"238229","WP-1304","POINT (2682113.8 1251201.9)"
"93563","WP-1332","POINT (2682101 1251052.1)"
"3512","WP-1320","POINT (2682124.5 1251133.8)"
"92750","WP-1419","POINT (2682054 1251171.1)"
"92999","WP-1603","POINT (2682081 1251225.8)"
"92834","UN-2362","POINT (2682169.8 1251284.8)"
"132110","UN-7687","POINT (2682158 1251237.5)"
"6128","WP-1353","POINT (2682131.5 1251083.1)"
"92831","UN-2363","POINT (2682169.5 1251287.6)"
"92876","WP-1409","POINT (2682061 1251221.2)"
"93566","WP-1506","POINT (2682129 1251029.5)"
"93428","WP-1354","POINT (2682133.8 1251080.4)"
"6197","WP-1355","POINT (2682131.5 1251080.2)"
"134696","AF-6218","POINT (2682014.5 1251265.6)"
"92753","WP-1422","POINT (2682047.5 1251114)"
"93425","WP-1528","POINT (2682133.8 1251085.9)"
"110666","UN-2392","POINT (2682125 1251364.9)"
"188150","AF-5439","POINT (2682039.5 1251238.8)"
"93008","WP-1483","POINT (2682098.8 1251231.9)"
"93650","UN-2414","POINT (2682151.8 1251360.1)"
"132107","UN-7686","POINT (2682172.8 1251231.8)"
"3638","WP-1416","POINT (2682030.5 1251197.8)"
"110672","UN-2393","POINT (2682116.8 1251358.9)"
"150287","WP-2965","POINT (2682097.2 1251034.8)"
"134699","AF-6216","POINT (2682022.8 1251251.8)"
"6113","WP-1341","POINT (2682109.5 1251032)"
"93149","WP-1294","POINT (2682140.2 1251225.4)"
"93545","WP-1525","POINT (2682104.5 1251099.9)"
